id	emotion
34170_0002_A_12	0.05276072397828102,0.046436041593551636,0.2618371248245239,0.00870312936604023,0.08030588924884796,0.2121708244085312
34170_0002_A_14	-0.03050893172621727,0.03509241342544556,0.10830594599246979,0.010098183527588844,0.18425826728343964,0.5536327362060547
34170_0003_A_16	0.1095583438873291,0.06296206265687943,0.02758735604584217,0.032152511179447174,0.2412673681974411,0.12448035180568695
34170_0003_A_17	0.03777876868844032,-0.07838506251573563,0.10905042290687561,0.21020758152008057,0.2965956926345825,1.3883196115493774
34170_0003_A_18	0.011641059070825577,0.022533826529979706,0.07838428020477295,0.022738048806786537,0.3485470414161682,0.3733103573322296
34170_0003_A_20	-0.015332620590925217,0.018292538821697235,0.21845565736293793,0.018779391422867775,0.1173572689294815,1.6847602128982544
34170_0003_A_21	0.045338843017816544,0.0215330570936203,0.10653583705425262,-0.04741046577692032,0.17615728080272675,0.3346405327320099
34170_0004_A_24	0.2939354479312897,0.27018168568611145,0.059207022190093994,-0.023665977641940117,0.12562210857868195,0.15121981501579285
34170_0004_A_25	1.1791876554489136,0.178114116191864,0.13126912713050842,-0.09794866293668747,0.15920822322368622,1.1157504320144653
34170_0004_A_26	0.4519971013069153,0.2275102436542511,0.05479709059000015,-0.09262705594301224,0.2300252467393875,0.4354923665523529
34170_0004_A_27	0.09599760174751282,0.17442762851715088,0.12060943245887756,-0.02783665619790554,0.1408495455980301,0.13095545768737793
34170_0004_A_28	0.13406890630722046,0.03775760531425476,0.02460143156349659,0.06416823714971542,0.2037154585123062,0.3624986708164215
34170_0005_A_31	0.18670132756233215,0.9431489706039429,0.11245332658290863,-0.09482920169830322,0.021594896912574768,0.08637353777885437
34170_0005_A_33	0.06933766603469849,0.11579293757677078,0.09310461580753326,0.06106146425008774,0.08930884301662445,0.16652393341064453
34170_0005_A_35	-0.04054361209273338,0.10357644408941269,0.18007874488830566,0.3072267174720764,0.15682433545589447,0.445356547832489
34170_0004_A_29	0.1153792142868042,0.004722516983747482,0.04208914935588837,0.014759296551346779,0.27330636978149414,0.40438899397850037
34170_0005_A_34	0.5112631916999817,0.34562674164772034,0.017421411350369453,0.10893759876489639,0.06881959736347198,0.3926313519477844
34170_0005_A_36	0.19831421971321106,0.009433992207050323,0.03374381363391876,-0.012463470920920372,0.1852916032075882,0.19870680570602417
