id	emotion
34170_0002_A_12	0,0.011809870600700378,0.10596184432506561,0.0220327265560627,0,0
34170_0002_A_14	0,0.03695397824048996,0,0,0.02485305443406105,0.03871903941035271
34170_0003_A_16	0,0.0022055022418498993,0,0.07479967176914215,0.13237249851226807,0.019397687166929245
34170_0003_A_17	0,0.029192287474870682,0.04059438407421112,0.12375026941299438,0.25462669134140015,0.49734070897102356
34170_0003_A_18	0,0.0027429312467575073,0.05058768391609192,0.11208662390708923,0.36248117685317993,0.27494993805885315
34170_0003_A_20	0,0,0.10571086406707764,0,0.07713508605957031,1.084553599357605
34170_0003_A_21	0,0.013493891805410385,0.024083467200398445,0,0.11544308066368103,0.10273568332195282
34170_0004_A_24	0.3123188018798828,0.16552944481372833,0.05757412314414978,0.014194291085004807,0.047572795301675797,0.07022963464260101
34170_0004_A_25	2.8222503662109375,0.21637390553951263,0.004685329273343086,0,0,0.5340397357940674
34170_0004_A_26	1.4396226406097412,0.31494778394699097,0.06314966827630997,0,0.08852759003639221,0.21133534610271454
34170_0004_A_27	0.03937991335988045,0.11501851677894592,0.04777795076370239,0.0019241683185100555,0.011631432920694351,0
34170_0004_A_28	0,0.03729614242911339,0,0.08732624351978302,0.1038186252117157,0.06029677018523216
34170_0005_A_31	0.30058130621910095,0.6701784133911133,0.1880805343389511,0,0.04498672857880592,0
34170_0005_A_33	0,0,0.03565943241119385,0.09490613639354706,0,0
34170_0005_A_35	0,0.11785593628883362,0.09007459878921509,0.18763385713100433,0.02564975991845131,0.16728009283542633
34170_0004_A_29	0,0.024635884910821915,0,0.04354604706168175,0.2181306779384613,0.23278385400772095
34170_0005_A_34	0.3303031623363495,0.16645485162734985,0.08990199863910675,0.0295533649623394,0.06433230638504028,0.2446219027042389
34170_0005_A_36	0.008537370711565018,0.038482874631881714,0.01444190926849842,0.00445040687918663,0.01647210493683815,0.015746358782052994
34170_0005_A_32	0,0,0,0.02056775614619255,0,0
34170_0007_A_42	0,0,0.045159995555877686,0,0.07633510231971741,0.061553601175546646
