id	emotion
34170_0002_A_12	0.01631898805499077,0.0044762976467609406,0.06988949328660965,0.04791800305247307,0,0
34170_0002_A_14	0,0.005492247641086578,0.01094045303761959,0.012150939553976059,0.01771773397922516,0.03143078461289406
34170_0003_A_16	0.0009102039039134979,0,0,0.09338444471359253,0.15104521811008453,0.014957569539546967
34170_0003_A_17	0,0.04173608869314194,0.05306047946214676,0.11785849928855896,0.2759033441543579,0.5050498247146606
34170_0003_A_18	0,0,0.04249086230993271,0.12773610651493073,0.3142402768135071,0.25719302892684937
34170_0003_A_20	0,0,0.09506598860025406,0,0.03345952928066254,1.2244406938552856
34170_0003_A_21	0,0,0.025308704003691673,0,0.1358988881111145,0.1384742259979248
34170_0004_A_24	0.32800057530403137,0.1811322271823883,0.043519027531147,0.044744398444890976,0.04892025887966156,0.08743063360452652
34170_0004_A_25	3,0.3067060708999634,0.015878355130553246,0,0,0.5475665330886841
34170_0004_A_26	1.6875311136245728,0.40781891345977783,0.049720294773578644,0,0.04992656409740448,0.20572784543037415
34170_0004_A_27	0.04222668334841728,0.07692518085241318,0.05157741159200668,0.02803890034556389,0.004160001873970032,0
34170_0004_A_28	0,0.021798700094223022,0,0.11648795008659363,0.10019008815288544,0.061389341950416565
34170_0005_A_31	0.40006664395332336,0.8469187021255493,0.1649094969034195,0,0.001635536551475525,0.01221158355474472
34170_0005_A_33	0.04874406382441521,0.01473909616470337,0.03219618648290634,0.0765434205532074,0,0
34170_0005_A_35	0,0.13432741165161133,0.12006714195013046,0.17168524861335754,0,0.186355322599411
34170_0004_A_29	0,0.026314273476600647,0,0.07116293907165527,0.21275977790355682,0.20219555497169495
34170_0005_A_34	0.3582731783390045,0.17098964750766754,0.04707828909158707,0.022218238562345505,0.025808259844779968,0.247992604970932
34170_0005_A_36	0.02754000946879387,0.015489194542169571,0.022149717435240746,0.010107677429914474,0,0.01067112386226654
34170_0005_A_32	0.003162216395139694,0,0,0.03771994635462761,0,0
34170_0007_A_42	0,0,0.021051442250609398,0,0.07076530158519745,0.0760045126080513
34170_0007_A_43	0,0,0.0052801575511693954,0.020501401275396347,0,0
34170_0007_A_44	0,0,0.07162124663591385,0,0.23198464512825012,2.0631825923919678
34170_0007_A_45	0,0,0.043033890426158905,0,0,0.067843958735466
34170_0007_A_46	0.06255196034908295,0.8886582255363464,0.11708655208349228,0.004490438848733902,0.017080798745155334,0.2736114263534546
34170_0007_A_47	0,0.013069219887256622,0,0.02092621847987175,0,0.034585561603307724
34170_0008_A_49	0,0.00969502329826355,0,0,0.05279816687107086,0.03538765758275986
34170_0008_A_50	0,0,0,0,0.013400956988334656,0.0514996275305748
34170_0008_A_51	0.022492360323667526,0.123954638838768,0.05503328889608383,0.005687277764081955,0,0
34170_0009_A_54	0,0,0,0,0.005717471241950989,0
34170_0009_A_56	0.0016136877238750458,0,0,0.06928907334804535,0.04203708469867706,0
34170_0009_A_58	0.13308925926685333,0,0,0,0.12866736948490143,0
34170_0009_A_59	0,0,0.006187519058585167,0,0,0.029227644205093384
34170_0009_A_60	0,0,0.031400881707668304,0,0.002336844801902771,0.057615652680397034
34170_0009_A_61	0,0.015627630054950714,0.09158702939748764,0,0.0645989328622818,0.06259971112012863
34170_0009_A_62	0,0,0.010189494118094444,0,0,0.04940906539559364
34170_0009_A_63	0.004563998430967331,0.01954079419374466,0.00769253633916378,0,0,0.045000579208135605
34170_0009_A_64	0,0.02210712432861328,0.037560395896434784,0.0015697889029979706,0.056479379534721375,0.17004507780075073
34170_0010_A_66	0,0,0,0,0,0
34170_0010_A_67	0,0,0.005768870934844017,0,0,0.06498685479164124
34170_0011_A_71	0.0410318486392498,0,0,0,0.0433821827173233,0
34170_0011_A_74	0,0,0,0.008528869599103928,0,0.03497885540127754
34170_0011_A_76	0.0699782520532608,0,0.06117778271436691,0.035007309168577194,0.06190811097621918,0.006026811897754669
34170_0011_A_78	0.02926615998148918,0.0470624715089798,0,0,0,0
34170_0011_A_80	0.036584120243787766,0.04629182070493698,0.03434028476476669,0,0,0.05546267703175545
34170_0011_A_81	0,0.0999225378036499,0.06700778752565384,0,0.012835219502449036,0
34170_0012_A_83	0,0,0,0.004303421825170517,0,0
34170_0012_A_84	0,0,0,0,0,0.0017506182193756104
34170_0012_A_85	0,0,0,0,0,0.0016992613673210144
34170_0012_A_86	0,0,0,0,0,0
34170_0012_A_87	0,0,0,0,0,0
34170_0012_A_88	0,0,0,0,0,0
34170_0012_A_89	0,0,0,0,0,0
34170_0012_A_90	0,0.0588286891579628,0.019226854667067528,0,0,0
34170_0012_A_92	0.007542561739683151,0.050648242235183716,0.052353911101818085,0,0,0
34170_0012_A_94	0,0.007418647408485413,0.004717206582427025,0,0.002403363585472107,0.01792152225971222
34170_0012_A_96	0,0.1156829297542572,0.05045556277036667,0,0,0.00410359725356102
34170_0012_A_98	0,0,0.03182771056890488,0,0,0
34170_0012_A_99	0,0,0.01928751729428768,0.018393095582723618,0,0
34170_0012_A_100	0,0,0.0655691847205162,0,0.10121949017047882,0
34170_0012_A_101	0.06786473095417023,0.07142326235771179,0,0,0.1784203052520752,0.3229324519634247
34170_0013_A_103	0,0,0,0.01145089790225029,0,0.020784638822078705
34170_0013_A_104	0,0,0,0.01909365877509117,0,0.013752371072769165
34170_0013_A_105	0,0,0,0.01169724389910698,0,0.017994068562984467
34170_0013_A_106	0,0,0.02451925538480282,0,0.09227339923381805,0
34170_0013_A_107	0,0.04593128710985184,0.045531563460826874,0,0.012079492211341858,0.02587665244936943
34170_0013_A_108	0,0.06716735661029816,0.033858947455883026,0,0.0746784657239914,0
