id	content	character	emotions	labels	label24
1460_0007_A_112	发现一具尸体躺在他的背上。V2非常害怕，他摘下眼镜，揉了揉眼睛，再次向前倾看着它。V2用手电筒照亮尸体，发现是D1。	d1	0,0,3,0,3,0	[0, 0, 3, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0007_A_113	发现一具尸体躺在他的背上。V2非常害怕，他摘下眼镜，揉了揉眼睛，再次向前倾看着它。V2用手电筒照亮尸体，发现是D1。	v2	0,0,3,0,3,0	[0, 0, 3, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0016_A_192	赞美：哇，漂亮的车！	x2	0,2,3,0,0,0	[0, 2, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0078_A_1102	你母亲和E1一起杀了她。他们把她的尸体扔到桥下。我亲眼看到的。你认为它们都是好东西。听到这句话后，S2惊讶地看着D1。	s2	0,0,3,0,1,2	[0, 0, 3, 0, 1, 2]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]
2369_0006_A_33	被杀了？！	a1	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0059_A_881	Q2呆呆地站着。	q2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0027_A_99	由于时间和空间的结合，古L2和M2的房屋相互交织。在早上的同一时间，睡着的顾L2意外地伸出手来拍m2。顾二大叫，用枕头拍了拍M2。他以为是家里的小偷，就乱跑	l2	0,0,3,0,2,0	[0, 0, 3, 0, 2, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
2388_0027_A_100	由于时间和空间的结合，古L2和M2的房屋相互交织。在早上的同一时间，睡着的顾L2意外地伸出手来拍m2。顾二大叫，用枕头拍了拍M2。他以为是家里的小偷，就乱跑	m2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0031_A_112	他们发现，虽然他们在同一个房间，但对面的窗户有不同的天气。晴朗的天空和猛烈的暴风雨打开了他家的门。1999年，他们一起出去看了顾二的建筑和其他东西。所有这些都像记忆一样令人难以置信	l2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0032_A_116	他们又进了屋，打开顾二的房门，一起出去了。相反，他们在M2眼中看到的都是新事物、高层建筑和发达的科技。对他来说，这样的世界就像一部科幻电影。当他们回到家里时，他们有很长一段时间不能放松	l2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0032_A_117	他们又进了屋，打开顾二的房门，一起出去了。相反，他们在M2眼中看到的都是新事物、高层建筑和发达的科技。对他来说，这样的世界就像一部科幻电影。当他们回到家里时，他们有很长一段时间不能放松	m2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0018_A_154	I2的眼睛里流露出不可思议的表情：这怎么会发生？	i2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0023_A_241	男孩抬起头：你知道我在做什么吗？	g2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0023_A_243	青少年G2：你也这么做了吗？	g2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0021_A_229	听到“G2”这个词，H2表现出一种惊讶的表情。	h2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0037_A_377	J1：唉！I2，九点五十分。	j1	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0037_A_378	J2很惊讶，似乎不相信他所看到的。	j2	0,0,3,0,0,0	[0, 0, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0041_A_424	我犹豫了一会儿，打开了门。她发现是她的前夫。她想把门关上，但L2使劲推门，站了一会儿。L2将I2推到门前，并借此机会进入房子。	i2	0,0,3,0,2,0	[0, 0, 3, 0, 2, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
