id	content	character	emotions	labels	label24
1171_0048_A_547	小林尊，事实上，这些年来我一直在等你。	o2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0048_A_545	给你。	o2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0048_A_557	F1想要躲藏起来，但O2被他抱在怀里。	o2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0048_A_559	我听过那些歌。我以为他们都是为我唱的。这些都是我想说的。	o2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0055_A_639	一个人来到医院门口。没有人送她。只有一个人在等她。	c1	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0066_A_756	我会留在这里。我必须把它们带回去。	o2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0091_A_1110	C1靠近O2几步，两人紧紧拥抱在一起。	c1	2,1,0,0,0,0	[2, 1, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0013_A_168	D1：我刚下班。我稍后会请你吃饭。	d1	2,2,0,0,0,0	[2, 2, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0016_A_196	P2笑着说：没关系，没关系。	p2	2,3,0,0,0,0	[2, 3, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0030_A_330	E1松开P2并将其放到车上。	e1	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0031_A_346	D1的手总是握着P2的手，P2看着T2。	d1	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0055_A_724	D1拥抱了Lian T2并开始亲吻：我非常喜欢你。	d1	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0037_A_486	我只是。。。我已经很多年没见过N2了。我仍然记得他当时的样子。事实上我把他的原貌和我现在的儿子搞混了。。。他们都六岁了。我想知道他为什么会这样。也许是我的错。。。也许我想认识他，把他的外表重新组合起来。这可能毫无意义，但我还是想试试	a1	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0059_A_878	N2突然意识到了什么，转身拿出裤兜里的手机。	n2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0072_A_1067	N2：让O2看一下，然后放回去。	n2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0078_A_1224	T2憔悴地出现在门口，附近的几个邻居一个接一个地走了出来。T2看着奔跑的毛毛，捂住嘴哭了起来	t2	2,2,0,0,0,0	[2, 2, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0082_A_1276	N2：等一下，等一下	n2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0086_A_1314	N2：我不想上学。我想和他一起去航海。	n2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0110_A_1476	A1从包里拿出金字塔，推开方形的嘴，拿出鲜红色的小桃子，然后放进嘴里，慢慢地	a1	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0071_A_332	P2w2：我爱你	p2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0093_A_551	D1看着尴尬的气氛，在车里扮演邓丽君的初恋角色。此时，M2正在买蔬菜，坐在电动三轮车上准备回家给顾L2做饭。尽管顾L2似乎已经找到了他想要的丰富生活，但他心中充满了与m2共度的快乐时光，而他周围的D1并不是m2给他的感觉。D1握住L2的手，但L2缩回	l2	2,0,0,0,1,0	[2, 0, 0, 0, 1, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
2388_0094_A_572	M2：不管怎样，如果我将来对你不好，不。如果我将来对你不好，我相信我能知道。然后我会用刀割伤自己	m2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0098_A_603	M2：别哭了	m2	2,0,0,0,0,1	[2, 0, 0, 0, 0, 1]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
2388_0098_A_604	顾二：我记得。将来我会和家人在一起。我是一个有地位的人。我必须注意M2：你为什么不哭？你为什么天天见我，天天回来	l2	2,0,0,0,0,2	[2, 0, 0, 0, 0, 2]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
2388_0098_A_608	M2：我要走了	m2	2,0,0,0,0,2	[2, 0, 0, 0, 0, 2]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
2388_0098_A_609	顾二：走吧，走吧，等等，D1，再见	l2	2,0,0,0,0,2	[2, 0, 0, 0, 0, 2]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
2388_0098_A_607	顾L2：你让你X2好好照顾我。你听到了吗	l2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2388_0103_A_649	M2：老斑鸠	m2	2,0,0,0,0,0	[2, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
