id	content	character	emotions	labels	label24
1171_0030_A_351	B1递给U2一块糖果，U2搓了搓手，然后握着B1的手取暖。	b1	1,3,0,0,0,0	[1, 3, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0037_A_410	B1高兴地喊道：我父亲康复了吗？	b1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0037_A_412	我爸爸很瘦吗？你的头发是白的！（点头哭泣）他被关了将近十年。我不记得他长什么样了。	b1	3,3,0,0,0,0	[3, 3, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0013_A_165	P2坐在车里高兴地尖叫，D1骑着自行车愚蠢地追赶他。	p2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0014_A_178	在一阵精彩的舞蹈之后，他们在大家的掌声中停止了舞蹈，P2转过身，高兴地向大家欢呼和叫喊。	p2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0016_A_188	D1的前端是快乐糖果：（笑）来吧，吃快乐糖果。	d1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0016_A_196	P2笑着说：没关系，没关系。	p2	2,3,0,0,0,0	[2, 3, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0016_A_200	婆婆对P2说：等着吃晚饭吧。	p2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0016_A_202	P2把头伸出窗外挥手说：谢谢，谢谢。	p2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0018_A_215	P2兴高采烈地拿着箱子沿街走，来到一家商店门口。	p2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0030_A_315	E1笑：我，E1。（高兴地跳舞）记得吗？	e1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0027_A_301	G2没有说话。他直接走到桌子前，拿起笔开始检查。他身后的人看着他的背笑了。	h2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0047_A_584	G2在包里发现了一张纸条。G2把它拿出来，看到上面写着：按时吃饭，照顾好你的身体。谢谢你为我们所做的一切。	g2	3,3,0,0,0,0	[3, 3, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0047_A_585	G2盯着纸条，微笑着而不是微笑。	g2	3,3,0,0,0,0	[3, 3, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2721_0085_A_1021	G2的嘴角露出了微笑。	g2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2930_0003_A_12	在促销期间，D3穿着白色婚纱，由父亲带领。在众目睽睽之下，他慢慢地向教堂深处走去。摄像机跟着D3的背影在他身后。这幅画很美。	d3	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2930_0003_A_14	新郎从父亲手中接过D3的手。摄像机拍到了D3的脸。她带着甜蜜的微笑看着新郎。	d3	3,3,0,0,0,0	[3, 3, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2930_0045_A_584	S2：我可以出院了！嘿，那只熊，你听见了吗？我可以出院了。	s2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2930_0045_A_585	他跑出去宣布他要出院了。	s2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2930_0124_A_1277	他泪流满面地笑了起来。	m2	3,3,0,0,0,0	[3, 3, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2930_0130_A_1349	M2感到惊讶和高兴：对还是错？我有那么好吗？	m2	0,3,2,0,0,0	[0, 3, 2, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0071_A_957	A1拍下了整包香烟的照片，引起了另一场笑声。人群看着A1在泥泞中奔跑，雨布在他身后漂浮。他们不知道他要做什么。他做了一件让所有人都吃惊的事——卸下了由运枪卡车拉着的马，盯着杆子，踩在裸露的背上，在原地扭动了两下。	a1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0071_A_956	A1：兄弟，记住，无论你走到哪里，我都愿意阻止你！	a1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0083_A_1112	他眼里含着泪水，把脚从鞋桶里拔了出来。A1紧紧地握着刺刀，握着刀刃的手渗出了鲜血，滴落在雪地上。沟里的人们焦急地看着这一幕，空气凝固了。	j1	0,3,0,0,2,0	[0, 3, 0, 0, 2, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
2996_0083_A_1115	我会做的。枪托一压，他就用脚踩在枪身上，把重心移到那只脚上。他的脸终于可以抬起来了。他看到一张脸因恐惧和激动而颤抖。	j1	0,3,0,0,3,0	[0, 3, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
2996_0103_A_1380	这是干部餐厅，不大。窗边摆着十几张桌子。葡萄酒、蔬菜和小吃都很简单。天花板上挂着大量纸花和纸带，花上布满了锦缎。新娘和新郎坐在纸花下的长凳上。男人魁梧、朴实、诚实，而女人美丽、温顺，这似乎是一个很好的搭配。男女士兵围着他们唱歌跳舞。他们没有规矩，但气氛很好。他们非常高兴，C1咧嘴一笑，E1害羞地靠在他身上。通过舞者之间的间隙，你可以看到A1和J1喝得太多以至于忘记了自己。J1穿着炮兵学员制服和长皮靴，与其他士兵相比非常显眼。他喝得酩酊大醉，双臂搂着肩膀哭了起来。A1也喝醉了，把J1拖到桌旁向大家敬酒，脸红了，大声喊叫，放肆地笑了起来。手风琴轰鸣着，歌声继续。	a1	0,3,0,0,0,2	[0, 3, 0, 0, 0, 2]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
2996_0103_A_1381	这是干部餐厅，不大。窗边摆着十几张桌子。葡萄酒、蔬菜和小吃都很简单。天花板上挂着大量纸花和纸带，花上布满了锦缎。新娘和新郎坐在纸花下的长凳上。男人魁梧、朴实、诚实，而女人美丽、温顺，这似乎是一个很好的搭配。男女士兵围着他们唱歌跳舞。他们没有规矩，但气氛很好。他们非常高兴，C1咧嘴一笑，E1害羞地靠在他身上。通过舞者之间的间隙，你可以看到A1和J1喝得太多以至于忘记了自己。J1穿着炮兵学员制服和长皮靴，与其他士兵相比非常显眼。他喝得酩酊大醉，双臂搂着肩膀哭了起来。A1也喝醉了，把J1拖到桌旁向大家敬酒，脸红了，大声喊叫，放肆地笑了起来。手风琴轰鸣着，歌声继续。	c1	3,3,0,0,0,0	[3, 3, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0104_A_1416	A1跌跌撞撞地走到梯子的入口处，哨兵试图扶住他的身体。	a1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0104_A_1417	A1（大声）：姐姐！老赵没有骗我，是吗？	a1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0104_A_1418	E1：不，是真的！	e1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0104_A_1419	A1:。。。别骗我！	a1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2996_0104_A_1421	E1捂住嘴哭了起来。A1在这位女士面前尽力克制自己的情绪，但泪水在他的眼中闪烁，他好几次都抓不住扶手。	a1	0,3,0,0,0,1	[0, 3, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
2996_0104_A_1424	那女人悲伤而快乐的哭泣终于催促着A1的眼泪。他双手紧抓第一步，很难走下去。波涛汹涌的森林大海和连绵不断的海浪声回荡着难以形容的深深的悲伤。	a1	0,3,0,0,0,3	[0, 3, 0, 0, 0, 3]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
2996_0106_A_1451	K1：顾连长。。。老顾！	k1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32504_0084_A_1293	K2以为他倒下时已经死了。他尖叫着，发现自己掉进了建筑电梯里。他高兴地启动了机器，对C1说：再见	k2	0,3,0,0,3,0	[0, 3, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
32504_0084_A_1296	K2在电梯里大笑	k2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32504_0108_A_1632	当他们转身逃跑时，K2撞翻了医生推的药车。K2帮着在药车的抽屉里取药。L2看到这一幕，他突然想起了什么。他跑过去亲吻K2说：小唐，我知道	l2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32504_0110_A_1658	L2震惊	l2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32504_0117_A_1708	K2在车里笑着说：上帝也帮助我	k2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32504_0129_A_1874	N1：他不仅找回了货物，还杀死了想逃跑的凶手，所以让我们欢迎下一个唐人街，	n1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32504_0129_A_1877	在舞台下，C1用杀人的目光看着N2。N2高兴地站起来，向大家挥手致意	n2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32795_0010_A_131	A1因为兴奋而开始抽搐。	a1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32795_0013_A_156	A1兴奋地倒在他身后的沙发上，捂住了胸口。	a1	0,3,3,0,0,0	[0, 3, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32795_0019_A_364	F1接过酒直接喝了：来吧，喝一杯。	f1	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32795_0020_A_415	Q2跳上会议桌，兴奋得扭动着身子。	q2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32795_0037_A_606	L2看到激动的泪水，A1一直在他身边扭动着身体。他摆出指挥音乐的姿势。随着最后的结束，烟火也结束了。	l2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32795_0043_A_664	A1的叙述者兴奋地大叫，但A1平静地盯着兴奋的L2。	l2	0,3,0,0,0,0	[0, 3, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
