id	content	character	emotions	labels	label24
1460_0006_A_58	人群的叫喊声越来越大，越来越激动，准备接近D1，暴动的U2试图停下来大声叫喊。	d1	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0006_A_60	D1茫然地看着人群。	d1	0,0,0,0,3,2	[0, 0, 0, 0, 3, 2]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]
1460_0006_A_68	首被告看着对面大楼的屋顶，回头看了看大声喊叫的人群。	d1	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0007_A_112	发现一具尸体躺在他的背上。V2非常害怕，他摘下眼镜，揉了揉眼睛，再次向前倾看着它。V2用手电筒照亮尸体，发现是D1。	d1	0,0,3,0,3,0	[0, 0, 3, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0007_A_113	发现一具尸体躺在他的背上。V2非常害怕，他摘下眼镜，揉了揉眼睛，再次向前倾看着它。V2用手电筒照亮尸体，发现是D1。	v2	0,0,3,0,3,0	[0, 0, 3, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0024_A_264	P2被带到一个小房间并关闭。P2跑向门口，脸上沾满了鲜血，拉开了铁门。	p2	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0024_A_265	P2疯狂地喊道：啊，我没有疯，你疯了。	p2	0,0,0,3,3,0	[0, 0, 0, 3, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0027_A_285	V2：是的，看起来是个女人，看起来像是很久以前失踪的Lian T2。	v2	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0069_A_947	这辆车在路上失控了。从对面开来的几辆汽车险些逃脱。在搏斗过程中，P2解开T2的安全带扣，拿出一把剪刀向T2刺去。Lian T2更疯狂地拉着P2。车辆最终撞上了路障，剪刀从整体上刺穿了T2的背部。	t2	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0069_A_948	P2离开车辆，看起来很慌乱，返回车辆并将车辆驶离现场。	p2	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0080_A_1127	E1运行到P2，然后来到车辆，打开车门，看着死亡的公司T2。	e1	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0080_A_1129	E1握住T2的手，最后拔出胸部剪刀。	e1	0,0,2,0,3,0	[0, 0, 2, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0080_A_1136	P2走过来，恐惧地看着E1。E1拥抱P2并亲吻他，将P2拉入车内，然后来到Lian T2的尸体旁，将其拉到一边并向其洒上汽油。最后，取出打火机并点燃车身。	p2	0,0,0,0,3,2	[0, 0, 0, 0, 3, 2]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]
2369_0058_A_755	当N2看到U2时，他看起来很害怕。他突然走上前，用反手拥抱Q2，匕首抵住Q2的脖子。	n2	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
2369_0077_A_1184	小W2停了下来，哭得更大声了。	w2	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
2721_0041_A_446	房间里的F1赛车手吓得坐在床上哭了起来。	f1	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
2721_0041_A_458	房间里的人哭得更大声了。	f1	0,0,0,0,3,3	[0, 0, 0, 0, 3, 3]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
2721_0041_A_466	L2绊倒在I2前，用一只手打了她，抓住F1的头发，将她打倒在地。	i2	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
2721_0041_A_467	L2绊倒在I2前，用一只手打了她，抓住F1的头发，将她打倒在地。	f1	0,0,0,0,3,0	[0, 0, 0, 0, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
