id	content	character	emotions	labels	label24
1460_0006_A_37	A1环顾W2，喝了一杯：好了，让开，让开。	a1	0,0,0,3,0,0	[0, 0, 0, 3, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0010_A_134	你好，你在做什么？（愤怒地喝酒）我们不在乎你。我们为什么要要求证据？	q1	0,0,0,3,0,0	[0, 0, 0, 3, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0024_A_265	P2疯狂地喊道：啊，我没有疯，你疯了。	p2	0,0,0,3,3,0	[0, 0, 0, 3, 3, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
1460_0024_A_266	P2在铁门旁凶狠而悲惨地喊道。	p2	0,0,0,3,0,3	[0, 0, 0, 3, 0, 3]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]
1460_0041_A_490	P2和D1摔跤，D1打了P2一巴掌，然后抓住P2的头发并将其拖到地上。P2疼得厉害，S2哭着要妈妈。	d1	0,0,0,3,0,0	[0, 0, 0, 3, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0069_A_944	甚至感觉失控并转动方向盘：如果你想死，每个人都会一起死，一起下地狱。	t2	0,0,0,3,0,1	[0, 0, 0, 3, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]
1460_0069_A_946	这辆车在路上失控了。从对面开来的几辆汽车险些逃脱。在搏斗过程中，P2解开T2的安全带扣，拿出一把剪刀向T2刺去。Lian T2更疯狂地拉着P2。车辆最终撞上了路障，剪刀从整体上刺穿了T2的背部。	p2	0,0,0,3,0,0	[0, 0, 0, 3, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0078_A_1094	D1愤怒地将S2按在墙上，掐住了他的脖子。	d1	0,0,0,3,0,0	[0, 0, 0, 3, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0078_A_1096	D1：你说什么？你说什么？我不允许你这样责骂我。我什么时候是一个堕落的人？我总是那么伤害你。	d1	0,0,0,3,0,0	[0, 0, 0, 3, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0078_A_1097	S2将D1的风扇放在一边，D1指向S2并责骂，S2拍拍D1的手臂。	d1	0,0,0,3,0,0	[0, 0, 0, 3, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
